index,original word,new word
1,yg,yang
2,ya,
3,orang,
4,ga,
5,aja,
6,kalo,kalau
7,gue,
8,cinta,
9,sayang,
10,udah,sudah
11,gak,tidak
12,takut,
13,nya,
14,banget,
15,sih,
16,tau,
17,anak,
18,gitu,
19,suka,
20,gw,
21,hati,
22,salah,
23,ku,
24,tp,tapi
25,pas,
26,bikin,
27,kasih,
28,jalan,
29,gua,
30,hidup,
31,bgt,begitu
32,sampe,sampai
33,si,
34,moga,
35,nyata,
36,bilang,
37,kali,
38,biar,
39,allah,
40,kerja,
41,rumah,
42,makan,
43,sakit,
44,liat,
45,kau,
46,pake,pakai
47,temen,teman
48,emang,
49,tuh,
50,jd,jadi
51,jam,
52,lihat,
53,org,orang
54,terima,
55,kayak,
56,gin,
57,masuk,
58,gimana,
59,jg,juga
60,pikir,
61,udh,udah
62,ajar,
63,bener,
64,laku,
65,karna,karena
66,deh,
67,lu,
68,ken,
69,krn,karena
70,selamat,
71,baca,
72,langsung,
73,bahagia,
74,pulang,
75,mas,
76,klo,kalau
77,sm,sama
78,jatuh,
79,teman,
80,buka,
81,tinggal,
82,w,gue
83,nih,
84,coba,
85,tidur,
86,iya,
87,kaya,
88,indonesia,
89,bawa,
90,lg,lagi
91,main,
92,dgn,dengan
93,dr,dari
94,malam,
95,cari,
96,cerita,
97,i,
98,beli,
99,mata,
100,tdk,tidak
101,lo,
102,pilih,
103,beda,
104,tuhan,
105,eh,
106,trus,terus
107,asa,
108,an,
109,senyum,
110,nggak,enggak
111,nama,
112,abis,
113,sehat,
114,lupa,
115,percaya,
116,enak,
117,ngga,enggak
118,dunia,
119,d,
120,pakai,
121,lagu,
122,pagi,
123,utk,untuk
124,sy,saya
125,mah,
126,mati,
127,ganti,
128,happy,senang
129,rindu,
130,doa,
131,you,kamu
132,foto,
133,bangun,
134,trs,terus
135,alhamdulillah,
136,kek,
137,negara,
138,mu,
139,pacar,
140,kadang,
141,ketemu,
142,nonton,
143,usaha,
144,sadar,
145,hasil,
146,habis,
147,sekolah,
148,butuh,
149,indah,
150,keluarga,
151,n,dan
152,manusia,
153,ngomong,
154,papa,
155,susah,
156,kenal,
157,bagus,
158,wkwk,
159,isi,
160,dah,
161,sdh,sudah
162,a,
163,harap,
164,in,di
165,rem,
166,presiden,
167,uang,
168,sedih,
169,via,
170,pergi,
171,kuat,
172,buah,
173,semangat,
174,harga,
175,yah,
